A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.103,0.098,0.116,0.108,0.12,0.111,0.127,0.102,0.116,0.123,0.118,0.119,0.123,0.073,0.112,0.074
0.105,0.1,0.118,0.109,0.122,0.113,0.13,0.103,0.12,0.126,0.12,0.122,0.126,0.074,0.115,0.074
0.107,0.102,0.121,0.112,0.127,0.115,0.133,0.105,0.122,0.128,0.122,0.126,0.129,0.074,0.117,0.074
0.109,0.104,0.124,0.113,0.129,0.117,0.137,0.106,0.124,0.132,0.124,0.129,0.132,0.074,0.12,0.075
0.11,0.106,0.126,0.114,0.131,0.118,0.14,0.108,0.127,0.135,0.127,0.132,0.135,0.075,0.122,0.075
0.112,0.107,0.128,0.118,0.133,0.12,0.143,0.109,0.129,0.138,0.129,0.134,0.138,0.075,0.125,0.076
0.113,0.109,0.13,0.119,0.138,0.122,0.146,0.111,0.132,0.14,0.132,0.137,0.139,0.075,0.127,0.076
0.115,0.111,0.132,0.12,0.139,0.124,0.149,0.113,0.134,0.143,0.135,0.14,0.142,0.076,0.129,0.076
0.116,0.113,0.135,0.123,0.143,0.125,0.151,0.114,0.136,0.147,0.137,0.142,0.144,0.076,0.131,0.077
0.118,0.114,0.137,0.125,0.144,0.127,0.154,0.116,0.138,0.149,0.139,0.145,0.147,0.076,0.133,0.077
0.119,0.116,0.138,0.127,0.147,0.129,0.157,0.117,0.14,0.152,0.142,0.148,0.149,0.077,0.135,0.078
0.121,0.118,0.14,0.13,0.148,0.131,0.16,0.119,0.142,0.155,0.144,0.152,0.151,0.077,0.137,0.078
0.122,0.12,0.142,0.131,0.15,0.132,0.163,0.12,0.145,0.157,0.147,0.154,0.153,0.078,0.139,0.079
0.123,0.121,0.144,0.133,0.153,0.134,0.165,0.122,0.147,0.159,0.15,0.156,0.155,0.078,0.14,0.079
0.125,0.123,0.146,0.135,0.156,0.136,0.167,0.123,0.149,0.162,0.153,0.159,0.157,0.079,0.142,0.079
0.126,0.124,0.147,0.138,0.157,0.138,0.17,0.125,0.151,0.165,0.155,0.164,0.159,0.079,0.144,0.08
0.127,0.125,0.149,0.138,0.159,0.139,0.172,0.126,0.153,0.167,0.157,0.164,0.161,0.079,0.146,0.08
0.129,0.127,0.151,0.14,0.161,0.141,0.175,0.128,0.155,0.17,0.159,0.167,0.162,0.08,0.148,0.08
0.13,0.128,0.153,0.141,0.163,0.143,0.177,0.129,0.157,0.172,0.162,0.169,0.164,0.08,0.149,0.081
0.131,0.13,0.155,0.143,0.165,0.144,0.179,0.132,0.159,0.175,0.164,0.172,0.166,0.08,0.151,0.081
0.132,0.131,0.156,0.145,0.168,0.146,0.182,0.131,0.161,0.177,0.166,0.174,0.168,0.081,0.152,0.082
0.133,0.133,0.158,0.146,0.169,0.147,0.183,0.133,0.163,0.18,0.168,0.177,0.17,0.081,0.154,0.082
0.135,0.134,0.159,0.147,0.171,0.149,0.185,0.134,0.165,0.182,0.169,0.179,0.171,0.081,0.156,0.082
0.136,0.135,0.161,0.148,0.173,0.15,0.187,0.135,0.167,0.185,0.171,0.181,0.173,0.082,0.157,0.083
0.137,0.136,0.162,0.15,0.175,0.152,0.189,0.137,0.169,0.186,0.173,0.184,0.175,0.082,0.158,0.083
0.138,0.137,0.163,0.152,0.177,0.154,0.192,0.138,0.171,0.189,0.175,0.186,0.176,0.083,0.16,0.084
0.139,0.139,0.165,0.153,0.179,0.155,0.193,0.139,0.173,0.192,0.176,0.188,0.178,0.083,0.161,0.084
0.14,0.14,0.166,0.155,0.18,0.156,0.195,0.14,0.174,0.194,0.178,0.191,0.179,0.083,0.163,0.085
0.141,0.141,0.168,0.156,0.182,0.158,0.197,0.141,0.176,0.196,0.18,0.193,0.181,0.084,0.164,0.085
0.142,0.142,0.169,0.157,0.184,0.159,0.198,0.144,0.178,0.198,0.181,0.196,0.182,0.084,0.165,0.085
0.143,0.143,0.17,0.158,0.185,0.16,0.201,0.144,0.179,0.201,0.183,0.198,0.184,0.084,0.166,0.086
0.144,0.144,0.171,0.159,0.187,0.162,0.202,0.148,0.18,0.203,0.185,0.2,0.185,0.085,0.168,0.086
0.145,0.145,0.173,0.161,0.189,0.163,0.203,0.146,0.182,0.205,0.186,0.201,0.186,0.085,0.169,0.086
0.146,0.146,0.174,0.162,0.19,0.164,0.205,0.149,0.184,0.209,0.188,0.204,0.188,0.085,0.17,0.087
0.147,0.147,0.175,0.163,0.192,0.165,0.206,0.148,0.185,0.208,0.189,0.206,0.189,0.086,0.171,0.087
0.148,0.148,0.176,0.164,0.193,0.167,0.208,0.149,0.187,0.212,0.191,0.208,0.19,0.086,0.172,0.088
0.149,0.149,0.177,0.165,0.194,0.169,0.209,0.15,0.188,0.213,0.192,0.209,0.191,0.086,0.174,0.088
0.15,0.15,0.178,0.166,0.196,0.169,0.211,0.157,0.189,0.215,0.194,0.212,0.193,0.087,0.175,0.088
0.151,0.151,0.18,0.168,0.197,0.17,0.212,0.152,0.19,0.217,0.195,0.214,0.194,0.087,0.176,0.089
0.152,0.152,0.181,0.169,0.199,0.171,0.214,0.155,0.192,0.22,0.196,0.216,0.195,0.087,0.177,0.089
0.152,0.153,0.182,0.17,0.2,0.172,0.215,0.16,0.193,0.222,0.198,0.218,0.196,0.088,0.178,0.089
0.153,0.153,0.183,0.171,0.201,0.173,0.217,0.158,0.194,0.223,0.199,0.219,0.198,0.088,0.179,0.09
0.154,0.155,0.184,0.172,0.202,0.174,0.217,0.158,0.195,0.224,0.2,0.221,0.199,0.089,0.18,0.09
0.155,0.155,0.185,0.172,0.203,0.175,0.219,0.157,0.196,0.228,0.201,0.223,0.2,0.089,0.181,0.091
0.156,0.156,0.186,0.173,0.204,0.176,0.22,0.167,0.197,0.229,0.203,0.225,0.201,0.089,0.182,0.091
0.156,0.157,0.187,0.176,0.205,0.178,0.221,0.159,0.199,0.231,0.204,0.227,0.202,0.09,0.183,0.091
0.157,0.158,0.188,0.175,0.207,0.179,0.222,0.161,0.2,0.232,0.205,0.228,0.203,0.09,0.184,0.092
0.158,0.158,0.189,0.176,0.208,0.18,0.223,0.163,0.201,0.233,0.206,0.23,0.204,0.09,0.185,0.092
0.159,0.159,0.189,0.177,0.209,0.18,0.224,0.169,0.202,0.234,0.207,0.232,0.205,0.091,0.185,0.092
0.159,0.16,0.19,0.178,0.21,0.181,0.225,0.162,0.203,0.237,0.208,0.234,0.206,0.091,0.186,0.093
0.16,0.161,0.191,0.179,0.211,0.182,0.227,0.165,0.204,0.239,0.209,0.236,0.207,0.091,0.187,0.093
0.161,0.161,0.192,0.18,0.212,0.184,0.228,0.164,0.205,0.241,0.21,0.237,0.208,0.092,0.188,0.094
0.162,0.162,0.193,0.181,0.213,0.184,0.229,0.171,0.206,0.243,0.211,0.239,0.209,0.092,0.189,0.094
0.162,0.163,0.194,0.182,0.213,0.185,0.23,0.166,0.207,0.244,0.212,0.24,0.21,0.092,0.19,0.094
0.163,0.163,0.194,0.183,0.215,0.186,0.231,0.169,0.208,0.245,0.213,0.242,0.211,0.093,0.191,0.095
0.164,0.164,0.195,0.183,0.215,0.187,0.232,0.17,0.209,0.247,0.214,0.243,0.212,0.093,0.191,0.095
0.164,0.165,0.196,0.184,0.216,0.187,0.233,0.168,0.209,0.248,0.215,0.245,0.213,0.094,0.192,0.096
0.165,0.165,0.197,0.185,0.217,0.188,0.234,0.174,0.21,0.249,0.216,0.247,0.214,0.094,0.193,0.096
0.166,0.166,0.198,0.186,0.218,0.189,0.234,0.17,0.211,0.251,0.217,0.248,0.215,0.094,0.194,0.096
0.166,0.167,0.198,0.187,0.219,0.19,0.235,0.179,0.212,0.253,0.218,0.25,0.216,0.095,0.194,0.097
0.167,0.167,0.199,0.187,0.22,0.19,0.236,0.17,0.213,0.254,0.218,0.252,0.216,0.095,0.195,0.097
0.167,0.168,0.2,0.188,0.22,0.191,0.237,0.175,0.214,0.255,0.219,0.253,0.217,0.095,0.196,0.098
0.168,0.169,0.2,0.189,0.221,0.192,0.24,0.172,0.215,0.257,0.22,0.254,0.218,0.096,0.197,0.098
0.169,0.169,0.201,0.19,0.222,0.193,0.239,0.177,0.215,0.258,0.221,0.256,0.219,0.096,0.197,0.098
0.169,0.17,0.202,0.19,0.223,0.194,0.24,0.175,0.216,0.259,0.222,0.261,0.219,0.096,0.198,0.099
0.17,0.171,0.202,0.191,0.223,0.194,0.241,0.177,0.217,0.261,0.223,0.258,0.22,0.097,0.199,0.099
0.17,0.171,0.203,0.192,0.224,0.195,0.242,0.176,0.218,0.262,0.223,0.26,0.221,0.097,0.199,0.099
0.171,0.172,0.204,0.192,0.225,0.196,0.242,0.179,0.219,0.263,0.224,0.261,0.222,0.097,0.2,0.1
0.172,0.172,0.204,0.193,0.225,0.196,0.243,0.177,0.219,0.265,0.225,0.263,0.222,0.098,0.201,0.1
0.172,0.173,0.205,0.194,0.226,0.197,0.244,0.176,0.22,0.266,0.225,0.264,0.223,0.098,0.201,0.101
0.173,0.174,0.206,0.194,0.227,0.198,0.245,0.18,0.221,0.267,0.226,0.265,0.224,0.099,0.202,0.101
0.173,0.174,0.206,0.195,0.228,0.198,0.247,0.177,0.221,0.268,0.227,0.266,0.224,0.099,0.202,0.101
0.174,0.175,0.207,0.196,0.228,0.199,0.247,0.187,0.222,0.27,0.228,0.268,0.225,0.099,0.203,0.102
0.174,0.175,0.207,0.196,0.229,0.2,0.248,0.179,0.223,0.271,0.228,0.269,0.225,0.1,0.204,0.102
0.175,0.176,0.208,0.197,0.229,0.2,0.248,0.189,0.223,0.272,0.229,0.27,0.226,0.1,0.204,0.102
0.175,0.177,0.209,0.197,0.23,0.201,0.248,0.181,0.224,0.273,0.229,0.271,0.227,0.1,0.205,0.103
0.176,0.177,0.209,0.198,0.231,0.202,0.249,0.18,0.224,0.275,0.23,0.272,0.227,0.1,0.205,0.103
0.176,0.177,0.21,0.199,0.231,0.202,0.25,0.18,0.225,0.276,0.231,0.274,0.228,0.101,0.206,0.103
0.177,0.178,0.21,0.199,0.232,0.203,0.25,0.184,0.226,0.277,0.231,0.275,0.229,0.101,0.206,0.104
0.177,0.178,0.211,0.2,0.232,0.203,0.251,0.184,0.226,0.278,0.232,0.276,0.229,0.102,0.207,0.104
0.178,0.179,0.211,0.2,0.233,0.204,0.251,0.184,0.227,0.28,0.233,0.277,0.23,0.102,0.208,0.105
0.179,0.179,0.212,0.201,0.234,0.204,0.251,0.181,0.227,0.28,0.233,0.278,0.23,0.102,0.208,0.105
0.179,0.18,0.213,0.201,0.234,0.205,0.252,0.185,0.228,0.282,0.234,0.279,0.231,0.103,0.209,0.105
0.179,0.18,0.213,0.202,0.235,0.205,0.252,0.182,0.229,0.282,0.234,0.281,0.232,0.103,0.209,0.106
0.18,0.181,0.214,0.202,0.236,0.206,0.253,0.188,0.229,0.284,0.235,0.282,0.232,0.103,0.21,0.106
0.18,0.181,0.214,0.203,0.236,0.206,0.254,0.184,0.23,0.284,0.235,0.283,0.233,0.103,0.21,0.106
0.181,0.182,0.215,0.203,0.236,0.207,0.254,0.188,0.23,0.286,0.236,0.283,0.233,0.104,0.211,0.107
0.181,0.182,0.215,0.204,0.237,0.208,0.254,0.184,0.231,0.287,0.237,0.284,0.234,0.104,0.211,0.107
0.182,0.183,0.216,0.204,0.237,0.208,0.255,0.19,0.231,0.287,0.237,0.286,0.234,0.105,0.212,0.108
0.183,0.183,0.217,0.205,0.238,0.209,0.255,0.185,0.232,0.288,0.238,0.286,0.235,0.105,0.212,0.108
0.183,0.184,0.217,0.205,0.239,0.209,0.256,0.19,0.232,0.289,0.238,0.287,0.235,0.105,0.213,0.108
0.183,0.184,0.217,0.206,0.239,0.21,0.257,0.186,0.233,0.29,0.239,0.288,0.236,0.106,0.213,0.109
0.184,0.185,0.217,0.206,0.24,0.21,0.257,0.187,0.234,0.291,0.239,0.289,0.236,0.106,0.214,0.109
0.184,0.185,0.218,0.208,0.24,0.211,0.257,0.188,0.234,0.291,0.24,0.291,0.237,0.106,0.214,0.11
0.185,0.186,0.219,0.207,0.241,0.211,0.258,0.188,0.234,0.293,0.24,0.291,0.237,0.107,0.215,0.11
0.185,0.186,0.219,0.208,0.241,0.212,0.259,0.189,0.235,0.294,0.241,0.292,0.238,0.107,0.215,0.11
0.186,0.187,0.22,0.208,0.242,0.212,0.26,0.189,0.235,0.294,0.241,0.293,0.238,0.107,0.216,0.111
0.186,0.187,0.22,0.209,0.242,0.213,0.26,0.191,0.236,0.295,0.242,0.294,0.239,0.108,0.216,0.111
